name,source_schema,source_table,snapshot_target_schema,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
SAP_HRP1051_HIST,edw_prd.admin,SAP_HRP1051_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_HRP1051_HIST,MANDT|PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP1051_PRE,edw_prd.admin,SAP_HRP1051_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_HRP1051_PRE,MANDT|PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP7404_HIST,edw_prd.admin,SAP_HRP7404_HIST,nzmigration,1=1,qa_legacy,SAP_HRP7404_HIST,PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP7404_PRE,edw_prd.admin,SAP_HRP7404_PRE,nzmigration,1=1,qa_raw,SAP_HRP7404_PRE,MANDT|PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP7405_HIST,edw_prd.admin,SAP_HRP7405_HIST,nzmigration,1=1,qa_legacy,SAP_HRP7405_HIST,PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP7405_PRE,edw_prd.admin,SAP_HRP7405_PRE,nzmigration,1=1,qa_raw,SAP_HRP7405_PRE,MANDT|PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_HRP7409_PRE,edw_prd.admin,SAP_HRP7409_PRE,nzmigration,1=1,qa_raw,SAP_HRP7409_PRE,MANDT|PLVAR|OTYPE|OBJID|SUBTY|ISTAT|BEGDA|ENDDA|VARYF|SEQNR,,
SAP_JOB_BONUS_HIST,edw_prd.admin,SAP_JOB_BONUS_HIST,nzmigration,1=1,qa_legacy,SAP_JOB_BONUS_HIST,JOB_CODE|JOB_BONUS_END_DT,,
SAP_JOB_CODE_HIST,edw_prd.admin,SAP_JOB_CODE_HIST,nzmigration,1=1,qa_legacy,SAP_JOB_CODE_HIST,JOB_CODE|BEGDA|ENDDA,,
SAP_PA0000_HIST,edw_prd.admin,SAP_PA0000_HIST,nzmigration,1=1,qa_legacy,SAP_PA0000_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0000_PRE,edw_prd.admin,SAP_PA0000_PRE,nzmigration,1=1,qa_raw,SAP_PA0000_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0001_HIST,edw_prd.admin,SAP_PA0001_HIST,nzmigration,1=1,qa_legacy,SAP_PA0001_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0001_PRE,edw_prd.admin,SAP_PA0001_PRE,nzmigration,1=1,qa_raw,SAP_PA0001_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0002_HIST,edw_prd.admin,SAP_PA0002_HIST,data_harness_empl_sensitive,1=1,qa_empl_sensitive,legacy_SAP_PA0002_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0002_PRE,edw_prd.admin,SAP_PA0002_PRE,data_harness_empl_sensitive,1=1,qa_empl_sensitive,raw_SAP_PA0002_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0006_HIST,edw_prd.admin,SAP_PA0006_HIST,data_harness_empl_sensitive,1=1,qa_empl_sensitive,legacy_SAP_PA0006_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0006_PRE,edw_prd.admin,SAP_PA0006_PRE,data_harness_empl_sensitive,1=1,qa_empl_sensitive,raw_SAP_PA0006_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0007_HIST,edw_prd.admin,SAP_PA0007_HIST,nzmigration,1=1,qa_legacy,SAP_PA0007_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0007_PRE,edw_prd.admin,SAP_PA0007_PRE,nzmigration,1=1,qa_raw,SAP_PA0007_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0008_HIST,edw_prd.admin,SAP_PA0008_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA0008_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0008_PRE,edw_prd.admin,SAP_PA0008_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA0008_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0014_HIST,edw_prd.admin,SAP_PA0014_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA0014_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0014_PRE,edw_prd.admin,SAP_PA0014_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA0014_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0015_HIST,edw_prd.admin,SAP_PA0015_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA0015_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0015_PRE,edw_prd.admin,SAP_PA0015_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA0015_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0027_HIST,edw_prd.admin,SAP_PA0027_HIST,nzmigration,1=1,qa_legacy,SAP_PA0027_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0027_PRE,edw_prd.admin,SAP_PA0027_PRE,nzmigration,1=1,qa_raw,SAP_PA0027_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0041_HIST,edw_prd.admin,SAP_PA0041_HIST,nzmigration,1=1,qa_legacy,SAP_PA0041_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0041_PRE,edw_prd.admin,SAP_PA0041_PRE,nzmigration,1=1,qa_raw,SAP_PA0041_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0050_HIST,edw_prd.admin,SAP_PA0050_HIST,nzmigration,1=1,qa_legacy,SAP_PA0050_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0050_PRE,edw_prd.admin,SAP_PA0050_PRE,nzmigration,1=1,qa_raw,SAP_PA0050_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0077_HIST,edw_prd.admin,SAP_PA0077_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA0077_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0077_PRE,edw_prd.admin,SAP_PA0077_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA0077_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0105_HIST,edw_prd.admin,SAP_PA0105_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA0105_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA0105_PRE,edw_prd.admin,SAP_PA0105_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA0105_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA2006_HIST,edw_prd.admin,SAP_PA2006_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA2006_HIST,"PERNR|""SUBTY""|""OBJPS""|""SPRPS""|""ENDDA""|""BEGDA""|""SEQNR""",,
SAP_PA2006_PRE,edw_prd.admin,SAP_PA2006_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA2006_PRE,"MANDT|""PERNR""|""SUBTY""|""OBJPS""|""SPRPS""|""ENDDA""|""BEGDA""|""SEQNR""",,
SAP_PA9001_HIST,edw_prd.admin,SAP_PA9001_HIST,data_harness_empl_protected,1=1,qa_empl_protected,legacy_SAP_PA9001_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA9001_PRE,edw_prd.admin,SAP_PA9001_PRE,data_harness_empl_protected,1=1,qa_empl_protected,raw_SAP_PA9001_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PAY_GRADE_LEVEL,edw_prd.admin,SAP_PAY_GRADE_LEVEL,nzmigration,1=1,qa_legacy,SAP_PAY_GRADE_LEVEL,COUNTRY_GROUP|PAY_GRADE_TYPE|PAY_GRADE_AREA|PAY_GRADE|PAY_GRADE_LEVEL|PAY_LEVEL_END_DT,,
SAP_POSITION_HIST,edw_prd.admin,SAP_POSITION_HIST,nzmigration,1=1,qa_legacy,SAP_POSITION_HIST,POSITION_ID|BEGDA|ENDDA,,
SAP_T001P_PRE,edw_prd.admin,SAP_T001P_PRE,nzmigration,1=1,qa_raw,SAP_T001P_PRE,MANDT|WERKS|BTRTL,,
SAP_T500L_PRE,edw_prd.admin,SAP_T500L_PRE,nzmigration,1=1,qa_raw,SAP_T500L_PRE,MOLGA,,
SAP_T500P_PRE,edw_prd.admin,SAP_T500P_PRE,nzmigration,1=1,qa_raw,SAP_T500P_PRE,MANDT|PERSA,,
SAP_T501T_PRE,edw_prd.admin,SAP_T501T_PRE,nzmigration,1=1,qa_raw,SAP_T501T_PRE,MANDT|SPRSL|PERSG,,
SAP_T503_T_PRE,edw_prd.admin,SAP_T503_T_PRE,nzmigration,1=1,qa_raw,SAP_T503_T_PRE,MANDT|PERSG|PERSK,,
SAP_T505S_PRE,edw_prd.admin,SAP_T505S_PRE,nzmigration,1=1,qa_raw,SAP_T505S_PRE,MANDT|SPRSL|MOLGA|RACKY,,
SAP_T510A_PRE,edw_prd.admin,SAP_T510A_PRE,nzmigration,1=1,qa_raw,SAP_T510A_PRE,MANDT|MOLGA|TRFAR,,
SAP_T510G_PRE,edw_prd.admin,SAP_T510G_PRE,nzmigration,1=1,qa_raw,SAP_T510G_PRE,MANDT|MOLGA|TRFGB,,
SAP_T510K_PRE,edw_prd.admin,SAP_T510K_PRE,nzmigration,1=1,qa_raw,SAP_T510K_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T511_PRE,edw_prd.admin,SAP_T511_PRE,nzmigration,1=1,qa_raw,SAP_T511_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T512T_PRE,edw_prd.admin,SAP_T512T_PRE,nzmigration,1=1,qa_raw,SAP_T512T_PRE,MANDT|SPRSL|MOLGA|LGART,,
SAP_T512W_PRE,edw_prd.admin,SAP_T512W_PRE,nzmigration,1=1,qa_raw,SAP_T512W_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T527X_PRE,edw_prd.admin,SAP_T527X_PRE,nzmigration,1=1,qa_raw,SAP_T527X_PRE,MANDT|SPRSL|ORGEH|ENDDA,,
SAP_T529T_PRE,edw_prd.admin,SAP_T529T_PRE,nzmigration,1=1,qa_raw,SAP_T529T_PRE,MANDT|SPRSL|MASSN,,
