name,source_schema,source_table,snapshot_target_schema,snapshot_target_name,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
SAP_T501T_PRE,edw_prd,SAP_T501T_PRE,nzmigration,SAP_T501T_PRE,1=1,qa_raw,SAP_T501T_PRE,MANDT|SPRSL|PERSG,,
SAP_T503_T_PRE,edw_prd,SAP_T503_T_PRE,nzmigration,SAP_T503_T_PRE,1=1,qa_raw,SAP_T503_T_PRE,MANDT|PERSG|PERSK,,
SAP_T505S_PRE,edw_prd,SAP_T505S_PRE,nzmigration,SAP_T505S_PRE,1=1,qa_raw,SAP_T505S_PRE,MANDT|SPRSL|MOLGA|RACKY,,
SAP_T510A_PRE,edw_prd,SAP_T510A_PRE,nzmigration,SAP_T510A_PRE,1=1,qa_raw,SAP_T510A_PRE,MANDT|MOLGA|TRFAR,,
SAP_T510G_PRE,edw_prd,SAP_T510G_PRE,nzmigration,SAP_T510G_PRE,1=1,qa_raw,SAP_T510G_PRE,MANDT|MOLGA|TRFGB,,
SAP_T510K_PRE,edw_prd,SAP_T510K_PRE,nzmigration,SAP_T510K_PRE,1=1,qa_raw,SAP_T510K_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T511_PRE,edw_prd,SAP_T511_PRE,nzmigration,SAP_T511_PRE,1=1,qa_raw,SAP_T511_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T512T_PRE,edw_prd,SAP_T512T_PRE,nzmigration,SAP_T512T_PRE,1=1,qa_raw,SAP_T512T_PRE,MANDT|SPRSL|MOLGA|LGART,,
SAP_T512W_PRE,edw_prd,SAP_T512W_PRE,nzmigration,SAP_T512W_PRE,1=1,qa_raw,SAP_T512W_PRE,MANDT|MOLGA|LGART|ENDDA,,
SAP_T527X_PRE,edw_prd,SAP_T527X_PRE,nzmigration,SAP_T527X_PRE,1=1,qa_raw,SAP_T527X_PRE,MANDT|SPRSL|ORGEH|ENDDA,,
SAP_T529T_PRE,edw_prd,SAP_T529T_PRE,nzmigration,SAP_T529T_PRE,1=1,qa_raw,SAP_T529T_PRE,MANDT|SPRSL|MASSN,,
SAP_T530_T_PRE,edw_prd,SAP_T530_T_PRE,nzmigration,SAP_T530_T_PRE,1=1,qa_raw,SAP_T530_T_PRE,MANDT|MASSN|MASSG,,
SAP_T548T_PRE,edw_prd,SAP_T548T_PRE,nzmigration,SAP_T548T_PRE,1=1,qa_raw,SAP_T548T_PRE,MANDT|SPRSL|DATAR,,
SAP_T549A_T_PRE,edw_prd,SAP_T549A_T_PRE,nzmigration,SAP_T549A_T_PRE,1=1,qa_raw,SAP_T549A_T_PRE,MANDT|ABKRS,,
SAP_T554T_PRE,edw_prd,SAP_T554T_PRE,nzmigration,SAP_T554T_PRE,1=1,qa_raw,SAP_T554T_PRE,MANDT|SPRSL|MOABW|AWART,,
SAP_T556B_PRE,edw_prd,SAP_T556B_PRE,nzmigration,SAP_T556B_PRE,1=1,qa_raw,SAP_T556B_PRE,MANDT|SPRSL|MOPGK|MOZKO|KTART,,
SAP_T5U0P_PRE,edw_prd,SAP_T5U0P_PRE,nzmigration,SAP_T5U0P_PRE,1=1,qa_raw,SAP_T5U0P_PRE,MANDT|WERKS|BTRTL,,
SAP_T5UTL_PRE,edw_prd,SAP_T5UTL_PRE,nzmigration,SAP_T5UTL_PRE,1=1,qa_raw,SAP_T5UTL_PRE,MANDT|TXCMP,,
SAP_T710_A_PRE,edw_prd,SAP_T710_A_PRE,nzmigration,SAP_T710_A_PRE,1=1,qa_raw,SAP_T710_A_PRE,MANDT|MOLGA|SLTYP|SLREG|SLGRP|SLLVL|ENDDA,,
