name,source_schema,source_table,snapshot_target_schema,snapshot_target_table,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
sds_psvc_bundle_add_on_c_pre,SDS_STG_PRD,sds_psvc_bundle_add_on_c_pre,nzmigration,sds_psvc_bundle_add_on_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_bundle_add_on_c_pre,ID,,FALSE
sds_psvc_bundle_c_pre,SDS_STG_PRD,sds_psvc_bundle_c_pre,nzmigration,sds_psvc_bundle_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_bundle_c_pre,ID,,FALSE
sds_psvc_bundle_configuration_c_pre,SDS_STG_PRD,sds_psvc_bundle_configuration_c_pre,nzmigration,sds_psvc_bundle_configuration_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_bundle_configuration_c_pre,ID,,FALSE
sds_psvc_class_session_c_pre,SDS_STG_PRD,sds_psvc_class_session_c_pre,nzmigration,sds_psvc_class_session_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_class_session_c_pre,ID,,FALSE
sds_PSVC_Customer_Pet_c_PRE,SDS_STG_PRD,sds_PSVC_Customer_Pet_c_PRE,nzmigration,sds_PSVC_Customer_Pet_c_PRE,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_PSVC_Customer_Pet_c_PRE,ID,,FALSE
sds_psvc_daily_activity_c_pre,SDS_STG_PRD,sds_psvc_daily_activity_c_pre,nzmigration,sds_psvc_daily_activity_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_daily_activity_c_pre,ID,,FALSE
sds_PSVC_Employee_Group_c_PRE,SDS_STG_PRD,sds_PSVC_Employee_Group_c_PRE,nzmigration,sds_PSVC_Employee_Group_c_PRE,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_PSVC_Employee_Group_c_PRE,ID,,FALSE
sds_PSVC_Employee_Group_Service_Types_c_PRE,SDS_STG_PRD,sds_PSVC_Employee_Group_Service_Types_c_PRE,nzmigration,sds_PSVC_Employee_Group_Service_Types_c_PRE,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_PSVC_Employee_Group_Service_Types_c_PRE,ID,,FALSE
sds_psvc_exception_hours_c_pre,SDS_STG_PRD,sds_psvc_exception_hours_c_pre,nzmigration,sds_psvc_exception_hours_c_pre,PSVC_EXCEPTION_OPEN_DATE_TIME_C >= '2023-08-30' ,nzmigration,sds_psvc_exception_hours_c_pre,ID,,FALSE
sds_psvc_invoice_c_pre,SDS_STG_PRD,sds_psvc_invoice_c_pre,data_harness_cust_sensitive,sds_psvc_invoice_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',data_harness_cust_sensitive,sds_psvc_invoice_c_pre,ID,,FALSE
sds_PSVC_Invoice_History_pre,SDS_STG_PRD,sds_PSVC_Invoice_History_pre,nzmigration,sds_PSVC_Invoice_History_pre,Created_Date >= '2023-08-30',nzmigration,sds_PSVC_Invoice_History_pre,ID,,FALSE
sds_psvc_note_c_pre,SDS_STG_PRD,sds_psvc_note_c_pre,nzmigration,sds_psvc_note_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_note_c_pre,ID,,FALSE
sds_psvc_note_history_pre,SDS_STG_PRD,sds_psvc_note_history_pre,nzmigration,sds_psvc_note_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_psvc_note_history_pre,ID,,FALSE
sds_psvc_order_product_special_c_pre,SDS_STG_PRD,sds_psvc_order_product_special_c_pre,nzmigration,sds_psvc_order_product_special_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_order_product_special_c_pre,ID,,FALSE
sds_PSVC_order_product_special_history_pre,SDS_STG_PRD,sds_PSVC_order_product_special_history_pre,nzmigration,sds_PSVC_order_product_special_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_PSVC_order_product_special_history_pre,ID,,FALSE
sds_psvc_package_product_c_pre,SDS_STG_PRD,sds_psvc_package_product_c_pre,nzmigration,sds_psvc_package_product_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_package_product_c_pre,ID,,FALSE
sds_psvc_pet_vaccination_c_pre,SDS_STG_PRD,sds_psvc_pet_vaccination_c_pre,nzmigration,sds_psvc_pet_vaccination_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_pet_vaccination_c_pre,ID,,FALSE
sds_psvc_product_bundle_configuration_c_pre,SDS_STG_PRD,sds_psvc_product_bundle_configuration_c_pre,nzmigration,sds_psvc_product_bundle_configuration_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_product_bundle_configuration_c_pre,ID,,FALSE
sds_psvc_product_special_c_pre,SDS_STG_PRD,sds_psvc_product_special_c_pre,nzmigration,sds_psvc_product_special_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_product_special_c_pre,ID,,FALSE
sds_psvc_redemption_c_pre,SDS_STG_PRD,sds_psvc_redemption_c_pre,nzmigration,sds_psvc_redemption_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_redemption_c_pre,ID,,FALSE
sds_psvc_schedule_template_c_pre,SDS_STG_PRD,sds_psvc_schedule_template_c_pre,data_harness_cust_sensitive,sds_psvc_schedule_template_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',data_harness_cust_sensitive,sds_psvc_schedule_template_c_pre,ID,,FALSE
sds_psvc_service_contract_c_pre,SDS_STG_PRD,sds_psvc_service_contract_c_pre,nzmigration,sds_psvc_service_contract_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_service_contract_c_pre,ID,,FALSE
sds_psvc_service_location_special_c_pre,SDS_STG_PRD,sds_psvc_service_location_special_c_pre,nzmigration,sds_psvc_service_location_special_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_service_location_special_c_pre,ID,,FALSE
sds_psvc_service_text_c_pre,SDS_STG_PRD,sds_psvc_service_text_c_pre,nzmigration,sds_psvc_service_text_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_service_text_c_pre,ID,,FALSE
sds_psvc_service_type_group_c_pre,SDS_STG_PRD,sds_psvc_service_type_group_c_pre,nzmigration,sds_psvc_service_type_group_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_psvc_service_type_group_c_pre,ID,,FALSE
