database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
cust_sensitive,apps_crm_communication,stateprovince,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,postalcode,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,countrycode,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,refine_fedex_shipping_package_rpt,RECIPIENT_POSTAL_CODE,StringType,STREET_ADDRESS,Star Mask,2022-09-27T21:27:39.806+0000,2022-09-27T21:27:39.806+0000,Automated Script,Automated Script
cust_sensitive,refine_fedex_shipping_package_rpt,RECIPIENT_COMPANY_NAME,StringType,PERSON_NAME,Star Mask,2022-09-27T21:27:32.493+0000,2022-09-27T21:27:32.493+0000,Automated Script,Automated Script
cust_sensitive,refine_fedex_shipping_package_rpt,RECIPIENT_NAME,StringType,PERSON_NAME,Star Mask,2022-09-27T21:27:28.414+0000,2022-09-27T21:27:28.414+0000,Automated Script,Automated Script
cust_sensitive,enterprise_customer_master,customer_first_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_master,customer_middle_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_master,customer_last_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_master,customer_birth_date,DateType,null,Date Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_1,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_2,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_city_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_state_cd,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_postal_cd,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_postal_ext_cd,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_country_cd,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_country_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_longitude,DecimalType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_latitude,DecimalType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_household_id,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_address_master,addr_acxiom_id,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_phone_master,phone_nbr,StringType,null,Phone Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,enterprise_customer_pet_master,pet_nm,StringType,null,Star Mask,2022-09-20T14:54:14.982+0000,2022-09-20T14:54:14.982+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_member_details,last_name,StringType,null,Star Mask,2022-09-12T13:59:00.236+0000,2022-09-12T13:59:00.236+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_member_details,middle_name,StringType,null,Star Mask,2022-09-12T13:59:00.236+0000,2022-09-12T13:59:00.236+0000,rarroyo,rarroyo
cust_sensitive,ENTERPRISE_DIGITAL_ORDER_PAYMENT_METHOD,ACCT_NBR,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,ENTERPRISE_DIGITAL_ORDER_PAYMENT_METHOD,CARD_CUSTOMER_NM,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,refine_aimia_member_details,address_line2,StringType,null,Star Mask,2022-09-12T13:59:00.236+0000,2022-09-12T13:59:00.236+0000,rarroyo,rarroyo
cust_sensitive,refine_crm_campaign_audience,email_address,StringType,null,Email Mask,2022-10-20T11:38:17.638+0000,2022-10-20T11:38:17.638+0000,rarroyo,rarroyo
cust_sensitive,refine_fedex_ca_shipping_package,SHIPPER_ADDRESS_1,StringType,STREET_ADDRESS,Star Mask,2022-09-28T18:16:50.734+0000,2022-09-28T18:16:50.734+0000,Automated Script,Automated Script
cust_sensitive,refine_fedex_ca_shipping_package,RECIPIENT_COMPANY_NAME,StringType,PERSON_NAME,Star Mask,2022-09-28T18:17:14.847+0000,2022-09-28T18:17:14.847+0000,Automated Script,Automated Script
cust_sensitive,ENTERPRISE_DIGITAL_ORDER_PAYMENT_METHOD,CHECK_NBR,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,refine_crm_campaign_audience,phone_number,StringType,null,Phone Mask,2022-10-20T11:38:17.638+0000,2022-10-20T11:38:17.638+0000,rarroyo,rarroyo
cust_sensitive,refine_mao_fulfillment,CUSTOMER_FIRST_NAME,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment,CUSTOMER_LAST_NAME,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment,CUSTOMER_PHONE,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment,CUSTOMER_EMAIL,StringType,,Email Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment_pickup_confirmation,FIRST_NAME,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
